phrase,image,category
jungle city,4447088438169418879078435135010812652611074687730645623208218372414280458922,Partial Literal
jungle city,20027624539947543544146997552597496916503077969546221849629016818931069190426,Figurative
a night owl,77163850685646165204344301745374206689099678370978394546610547867113402943199,Figurative
the car is a rocket,71444779304200940396660887272792845092536386398468140470565666810070619659471,Partial Literal
sea of umbrellas,47915931312147238523728170654609543286710305867879553309118630701669318126563,Partial Literal
sea of bees,66469287110527856716109039844609319625678741050833836194062917327445454439096,Partial Literal
he is a cheetah,19509394907139808738643692448162744630966971806078999472522411642487631527341,Partial Literal
their relationship is a house on fire,18056377971270081610999485557305595158950663402997603682729944356535609472622,Partial Literal
he is a fox,27361479466373671403690064196119584812225999687664223887904497585104181462396,Partial Literal
he is a fox,44192492258844283821803622558895907251526123110282061135160114627324254200813,Figurative
a shinning star,70446032795227170356792818082897792004380725808759269779366312295276326673689,Partial Literal
blanket of bullets,42691395060863888190729309288664549397174018007984991267219469955027217052726,Partial Literal
homework is a breeze,10458492110125274951808653411601703242175988851533364334242881004933965170911,Partial Literal
their relationship is a house on fire,70860022884621139626323620149273466871360803352681491044550691176757861712772,Partial Literal
blanket of snow,17034850149510343357703130632542093049968005451163727696523732289074424690458,Partial Literal
eyes were fireflies,807383759111359014275551872731205098642671050503014123041725263470981996631,Partial Literal
home was prison,3408264338758151165475123943325623711820452335611003484041443211332355828567,Partial Literal
a shinning star,22186675713281614554440124499530289853779096092373310585632083842763417770472,Partial Literal
sea of knowledge,6057647883457618803622872007796196774621894427749845386374625331477886209582,Partial Literal
he is a cheetah,104675623833471489097405819302144000794112268678758016985926456789684284966340,Figurative
he is a fox,30953313270761213394590159818887283344179422417615931577879110045032863743675,Figurative
heart of gold,91415018377464540770919213225303546975657116685955076879563313548732849002649,Partial Literal
a mighty lion,2052065433081114296692006683763741908001865280108911457391800562538819662800,Partial Literal
heart of gold,98766807066870182766049325048171029795476749170177559319932560038039790819207,Figurative
she is a snake,2984826685722053470422864679936278841862323621580833504400986082822968806371,Partial Literal
home was prison,31029733209474939498478651664146271020336633646137583543978380396123431577046,Partial Literal
walking encyclopedia,48378769398197012176269089461906449168836193274105353215679112475995558703522,Partial Literal
wheels of justice,41287841180149342519952318734163306229303423890047206159752980621446712450617,Partial Literal
homework is a breeze,98897406001775900369018891291754933285535378255721025163240380029962817590939,Figurative
home was prison,11505842631954381344391028358506191294672837310076074549818843466507042384185,Partial Literal
sea of knowledge,54221086363564514761141251742782782364593418891238727838113572567972770822859,Partial Literal
heart of stone,80142985244509977396806979769681896610458317244817374209091713862571530457514,Partial Literal
an angel,17019111169920015517445951694461916888646609437411588613455405451236878717427,Figurative
she was a sly cat,44312370172069134541455533764430591560696993228009180572825458326594114238001,Partial Literal
jungle city,55665759253751293098735384261747783706563245573943271046548181992716964111959,Partial Literal
house of cards,25422910418945691754951497489462690492950401088715714169322585314908160644540,Figurative
light of my life,111347796982495570292822944324793861813820613847736559243698208137554305559564,Figurative
a mighty lion,104402260001058217202917018183070384724354038859471753847920550191004076422004,Figurative
sea of umbrellas,101460625669581454861052481228737916459416686537906156867164773990414932567363,Partial Literal
she was a busy bee,82141527523806533576533928530516511815376592103167251503850900889961784601166,Partial Literal
heart sank,110371912126468560449829001186641486860161229563444816420309575833239935721695,Partial Literal
heart of stone,41075642803304919999516398262123924030288223609197165159523219922885139790292,Figurative
sea of bees,75779280907194055411500666616969162326989873617618322936973350291529999439729,Figurative
house of cards,49940145944040799022667563480677177828595919592193158375325578849163326720448,Figurative
heart of gold,72116296129128307585565170575466901271866840472629244809593226281329968087455,Partial Literal
sea of umbrellas,65317089445255653849533233547171723132509398874518817761116550192740609439699,Partial Literal
heart sank,8960513416899354795624259759259673960879142594550931854899090783058961734605,Figurative
blanket of flowers,8932990869476201080774074352409080631431256125258384599242151876569309421984,Partial Literal
the car is a rocket,61566630723777033095225551950617246894329277816784037157165688698534271378186,Partial Literal
home was prison,23636663852414100726478639017376515264786026558430371540688213001750245759537,Partial Literal
she is a ray of sunshine,77948261979663342030513675623871127214897517972941953491240621955068353758677,Figurative
he is a fox,79144741429095783944443033934007550647260571802169408420240949779258527276100,Figurative
walking encyclopedia,28764539890036860936240486340117631090588308335555277179702664177195002163587,Partial Literal
their relationship is a house on fire,68765929776402634690911115212895054025524023402358180548708532802395824212702,Partial Literal
sea of umbrellas,109664759526596932976030962028770262509638243107834937413779878499139673742545,Figurative
cute teddy bear,16635570730877685610787902741407387618286873929482200517251408538104500554876,Figurative
he is a fox,14194586353969712634912000568917494403359513255501528987126618239241034374556,Partial Literal
heart of a lion,54615421414408604843409733273378125999804459421209305208116107197337137042191,Figurative
light of my life,89080037724655007638389822884953865682005667661488616204896152178291642404501,Figurative
he was a chicken,84984115053969064032453200487142572836079367565454974513099284285127538772548,Figurative
he is a cheetah,78608323477300591667515224971901959983318895669995085609978688661035754203646,Figurative
sea of umbrellas,21300857644112696080960815449154171441689487499446588304402682198170945688183,Partial Literal
heart of gold,82435407110293351039129573541971141349164855753129739189736375122713162997019,Partial Literal
a night owl,48790319926547811340858581491802249195503427750264637981974287041452841763487,Partial Literal
sea of knowledge,61963130141072025687052825755609438365514007137199898231863963951799621375200,Partial Literal
he drives a tank,15083085114329253435651820410705466652728215993774765355522013593033579191697,Partial Literal
a night owl,77076700612075913876296836818385996131634667091455672487046209456919067865280,Partial Literal
he was a chicken,39792167797507440047749144709497439577605421959584738118207801994440029017108,Partial Literal
light of my life,15036236510598149731371687826013482692722530159939951335416671317264446232844,Partial Literal
heart of gold,4599331561854253128195393683391065706700222582223339123050807571919755366955,Figurative
she was a busy bee,80763846512512138087213386194285155317268180558745163505797797375864524135866,Partial Literal
heart of a lion,70917447429170868092386644510301711438225192077114631862682251386055167261189,Partial Literal
a mighty lion,92976806050824280289312806022249534000996094429184838355363021935051438125612,Partial Literal
their relationship is a house on fire,88808641485704974035959054842794773805257359021571550340237395827187815733500,Figurative
he drives a tank,66183202719531650227438330882846006533922992248322496976141192272968068648834,Partial Literal
wheels of justice,83475955661534707155942937816054695263008041082694418547128692356665252236132,Figurative
she was a busy bee,58988612503185939287375197616592286005133783410879103347264176137207259620915,Figurative
he is a fox,111593769763735334949488795709811564716922291200846107676615792586973287033215,Partial Literal
a lion on the battlefield,18137139193051343390688274442108687171536707684753420226264982876110993201054,Partial Literal
walking encyclopedia,76774121143926165999378637118815762965187260871261805881335543423762498541339,Figurative
sea of umbrellas,29021681547641361638445796096638467743411226345772736151789094723206110525414,Partial Literal
heart of stone,88405016329207192989303694817867034736548595668503501236618855672031117856873,Figurative
heart of gold,3559886650539307521070618402489542642671432607096410065350091716081834545040,Figurative
heart of stone,16007551376766790462924651314626335052958105935396119937306245916184299396895,Figurative
cute teddy bear,99625129459066218491033555981543247173928915025484295633444678847869323573300,Figurative
he is a fox,81659107293120209381638785224546304464679567231769095483123212179203128536344,Partial Literal
an angel,28864965689852088867803728621600668961946097413019566347373206283615889724984,Figurative
jungle city,66323511649903563832832543025514249125506672205984259004469004923738848238957,Figurative
their relationship is a house on fire,58305929974635086162583133609051385762946464148681370215308047422037204657891,Figurative
she was a sly cat,112514242182771241447919282796473013685261496519192502496999304833300834553526,Partial Literal
wheels of justice,102911944599573555101586708700653534891171145177096431858023812676578391039151,Partial Literal
jungle city,110975760770980854967331550270803009541056664813295700366630967134816854228897,Figurative
home was prison,103732064634789026185851154665853409095394553833017547004510657362804366956362,Partial Literal
she was a busy bee,27725326306166408556297672114307494890210817635621674040727486590162269528413,Partial Literal
blanket of flowers,91470783862641502960913767433384704115618343311766911163371798948357830868502,Partial Literal
he is a fox,17196760427332064909565016476736442906929527066154272704859801382414746994842,Partial Literal
a mighty lion,96732325175213591935713134856693338452686268161098651141764842552303730305763,Partial Literal
blanket of flowers,102255760584955808305280330559757580415401088517887918288808965979228411985366,Figurative
blanket of snow,45090658842685472077284568583881932558856846565403117667692825709005674521089,Partial Literal
blanket of snow,96439663651267291050859449802191563681230083699978567596237904370044057594438,Figurative
a night owl,31179141156676812510952484733777085489617262505755326666776979586440381756864,Partial Literal
she was a busy bee,64053323209835069968447249707911156667074354030827341848763987486989212882784,Partial Literal
a lion on the battlefield,31194315117106877880361691866930826480544269095208103421956097334217355339775,Partial Literal
home was prison,101514130024804135868804040500057435389135728535540652745924601720765473704933,Partial Literal
their relationship is a house on fire,93632386169737870796735080446127774828669646784296407662619990486386697620117,Partial Literal
sea of bees,61722610773360339929941001205986353385826091850021636264198153580010183058706,Figurative
she is a snake,65389488220079321041649692718136795407561707536048453398898446008073841221340,Figurative
home was prison,65288173334358512147746663987061429496407177499206817703916601311285647855673,Partial Literal
he was a tiger,11669980760455541488407869755176221186191100972632767851558142872797803123185,Partial Literal
sea of umbrellas,40737245963724024468084832844789286784307105562351325186667011022461599396701,Figurative
he is a cheetah,4443448638138774725378395402955406799409739445167660714056083690113220235777,Partial Literal
he was a tiger,54068733608127375386896252838698402950471795088914315964998923483465512315426,Partial Literal
a shinning star,31126122351746178619827546350942928274757494522525112644187570388448186542572,Figurative
a night owl,39316259360218619770475556267718879565486545865024626368724996216250618729196,Partial Literal
heart of gold,101596285714782584353000238915998635055430936158320888630120209562591800080863,Figurative
heart of gold,62372136120123928240803465866769353043050479712505617474092678796840620181169,Partial Literal
their relationship is a house on fire,42371700619934488658379953574355956673028146809534184776849728143877742851766,Partial Literal
heart of a lion,17305780255719166943132252526128936146973443337406654126280383503280117593975,Partial Literal
heart of gold,6115754277161037719533057742981879132296994688353235830843858218031587740270,Partial Literal
blanket of flowers,27481910804247099721555303358798458834343574377916114194281744995112446012025,Partial Literal
she is a ray of sunshine,112294412858542473280493992495002123944928241168931818873604563918038948004786,Figurative
he is a cheetah,87555939998362948735890846487943493047349850092407779135144594211068662447704,Partial Literal
blanket of flowers,42197608262328075400724656447386675818388582961623565443369901752950618695040,Partial Literal
light of my life,25947205774214651460304220764995934524897962321399802169138452850653483047403,Partial Literal
the car is a rocket,60949696223421646500194873037449286686736796731055130532769261601939673375577,Figurative
eyes were fireflies,17424584524816444752873637446064626513725900206679596814474113731828320445956,Partial Literal
she is a ray of sunshine,84324416904325021270946318844980027090697086551162249674199348411511882912534,Partial Literal
heart sank,111714784897189347477699753181651812636075555440846456414833328460772654090106,Figurative
eyes were fireflies,58823540184256134037476922118377858304161538099851948236405119072777932378947,Partial Literal
eyes were fireflies,74164229703721563254293438628901661037130872222078952704850407071083055956674,Figurative
she was a busy bee,110169599197880543096566043809993994032278978806026225789833767362572584591472,Partial Literal
she was a sly cat,79231713196157274655650639964672541151633320137772116463096569907639047427837,Partial Literal
a night owl,93535813319496546658423742683259522832974881740586372579449624460342381791089,Partial Literal
she was a sly cat,23879625354670887856527196892448785907612934579583193061729805624948347985663,Partial Literal
jungle city,57710614603443052152789166535352847587292886768646926024794894558775134281105,Figurative
he is a cheetah,85447590568121724646962154646010574785429321342700663780523545977402118450350,Figurative
homework is a breeze,75263261088097933118155315613463950450894194905303496241308034368058450069157,Partial Literal
heart of stone,102513398832724090889998092873581986424082673781867599430044062254125084398897,Partial Literal
a mighty lion,97520037702023668418009531416300006538843502838951191571525582189245584993444,Figurative
a mighty lion,103715899672737791453271506661767427027046431807350948097883751158008930241885,Figurative
sea of umbrellas,15411859617439564347585453937499825216509447067234005581070164940210865522225,Figurative
blanket of bullets,34848193887452845777439224209370937817555368836508434456697789539444788830414,Partial Literal
a mighty lion,50394825709102659689897783640522375344028108693118072960342616076366545267016,Partial Literal
he drives a tank,63246156985274799838544752607210506932416949549638407331638465274143490266958,Figurative
homework is a breeze,100226218521365318718707650691041303500511523288514634425584423748314883477384,Partial Literal
home was prison,4192983819931573755298504961275537925395506160187905867372471790686532019968,Figurative
homework is a breeze,34943733366368002885824741133364104235807613986088003032460241013573055581250,Partial Literal
sea of umbrellas,44630392530319621655606832718574940473833576930884665840787008818495420873284,Partial Literal
a lion on the battlefield,43346164269427196949916760758009114267386336350839281939577503869050469229871,Figurative
he is a cheetah,104212333688222770614670645267731008681084708160622168053954576908127947071975,Partial Literal
he drives a tank,96949029382493625197628889732760590945858144763862102121927191387709287599854,Figurative
eyes were fireflies,12442741105399708348808700477791135887945326172848504335000275792181970978069,Partial Literal
their relationship is a house on fire,67590094617106063475777800973957167055657751185666551449227279143548473673676,Partial Literal
sea of knowledge,22471999530246942312522501132561051158005807447449530871730705836395718858716,Figurative
he is a fox,80459930773096503718902519386173483838560835211124526598566447655550595563228,Partial Literal
she was a sly cat,52929843823120038460402714601044201416626625737724959510204344937332443353488,Figurative
a mighty lion,81302337714359397069483593113448271609380676525082755688111240289466745183837,Partial Literal
a night owl,103446809077160258989700299564487240491569025950989766291326060621210105474613,Figurative
light of my life,4703818564266414314426716576204464229869674093154381642386573066614059161370,Figurative
he is a fox,79447673942600058779772998112618610405751321486209882120833683972680976158966,Figurative
a shinning star,13353520507917309687147449240045447155057790450563453272248948179055934003747,Partial Literal
heart of stone,28038106067607044952536810447309953442386248417272554452311609761048479629913,Partial Literal
sea of bees,48579655843436811964321915243844262226590087995990308675295762620091436765332,Partial Literal
blanket of snow,24185198297100533980193592226035621089589407575275630386013242743655616399159,Partial Literal
he was a chicken,104972423617308576643619112362977806985710292932429557594943496899700449955264,Figurative
sea of knowledge,62378342428761219799210915268669237588253710636620707542991343119414976070774,Partial Literal
house of cards,75214236292530633726904214888429594426162751852767788686108189438042867935821,Figurative
blanket of flowers,25458801446370302428599391178210908982080978222575976873120723833635489502149,Partial Literal
he is a cheetah,23635808638607720512278061108815879921110051132370142958199003220355761632063,Figurative
their relationship is a house on fire,97236153008807712130826361495465530317313117651109409081836200580625592278414,Figurative
blanket of snow,48180228484344652451547493562612168887829186242744697696946617657207809575830,Partial Literal
a night owl,24978307850704268899096099897747839697572546094924121407474585551129539740372,Figurative
she was a sly cat,35023370659045150120027525212084208255567877316536926788010074683149235557019,Figurative
a night owl,35659450654858675845256521780940801479079459659629861861450010012881330036868,Figurative
heart of a lion,3432336305902139730062738802672156401484246701784456398699158264230821935094,Partial Literal
a lion on the battlefield,59439996068746995075564095340703303893095327166530506254413933919327803515686,Partial Literal
he is a fox,34047595272189499655971720892850173563914950469731223547484712292605537115880,Figurative
she was a sly cat,31509483591195120534238506803989823425498951096210474111277247548117221159813,Partial Literal
heart of gold,77525078776009860024216865549908114694880520217189039991809370775478882610416,Figurative
house of cards,53491356965036476548525467617989748809242813999811366773189124403654794993435,Partial Literal
homework is a breeze,62112557475466013368623682282001971437315348578924895522505421272126300607865,Partial Literal
sea of bees,84672766501456881078523040198701866419575042873218814095117533664140245448276,Figurative
he is a cheetah,13052974051198314295944648084916285738144321257760837637195085166677959937948,Partial Literal
he was a tiger,112481403182658257127224938680136884047245375861652971625400347324823686198343,Partial Literal
he is a fox,86900135133574090874872993222867655828011481620551324682147144177747781576960,Partial Literal
she was a sly cat,71380649196411592849098057739927365818002752409261601311805705161561475715864,Partial Literal
he drives a tank,101566902056140246945460502698757624918910137292161744307044344547933317805832,Figurative
sea of bees,104444540843436332974955230383978838054273602633052431774788272081649699985037,Partial Literal
light of my life,54474889959317887565777353243417275672067662951261375045169919717990748188646,Partial Literal
he is a fox,97437474842535281238573462847402226187488477128319071254298401443311244381201,Partial Literal
walking encyclopedia,50406142882086220522180623724456873667050000131003550325958103431359865960233,Partial Literal
heart sank,114812521584768408121295333514609465550019631388777661112951014576735362051154,Partial Literal
a lion on the battlefield,115002240814817197809202465435064817912890257341016135948571156487377173279124,Figurative
jungle city,7074588935151616652544855131660835497602780894476864552679137041938018448990,Partial Literal
home was prison,14777150851753001650924282163044129170944055945739563718310158546777324934436,Partial Literal
their relationship is a house on fire,54289271893081955843487442962359810836362010273460872099279203064748761789391,Partial Literal
sea of umbrellas,18433028486763446058819650550171398182402936894678425049323749856211808080625,Partial Literal
homework is a breeze,34322148225966289406787841498592160923812227293180038808666609221246904796971,Partial Literal
he is a cheetah,101912793280866689092196621561446630475486681027005565792525148543612084259948,Partial Literal
heart of stone,49050273385387626469288917865051676543124271779592183614666258341454470173420,Partial Literal
she is a ray of sunshine,13900796202483130843582210352598098961460293693963268897135335383214807831886,Partial Literal
she was a busy bee,45065375796803402964947024779735133597176572809661683852513174513378041932502,Partial Literal
he was a chicken,110343389468785994073374704792269981229439020256525557853560982079388037978325,Partial Literal
he was a tiger,30835887868546133985988692833751607508381838681515783413176923448146928481667,Partial Literal
he is a cheetah,35585095411820107275112939303214814215267273998842620789697502632451909082380,Partial Literal
house of cards,78462363749394831889834443327875473074344413057848432571425509705875773265026,Partial Literal
she is a ray of sunshine,78538545933695234530434041789378417363945139385476008127716340539116781975749,Partial Literal
he is a cheetah,97750427877399381210760223011465287252532138517455321843182340536354827774544,Figurative
homework is a breeze,26755456989494384580798859211708167749736707874821368790343357070949653911811,Partial Literal
heart of stone,2376232924974648588781352176216122563595611305508268042681766287677366075652,Partial Literal
she is a ray of sunshine,39747785800747776178491876915891172286176911556561049918473369436874969031288,Partial Literal
he is a cheetah,74279570351146327777990755076994050379892480007917276863814010225309679372727,Partial Literal
heart of gold,13631631674864289357871347601068817699338978110142893739914990316212074086868,Partial Literal
jungle city,15916742277363413061427230573858480191677931335205510263348137688612935176299,Partial Literal
he is a fox,16362978019303225858706369788619289022879946990353788201120459381953070951307,Partial Literal
home was prison,48283473028376005005266136278659940821248880599277820385041707530317577540819,Figurative
she was a busy bee,79608757019938656354543272638337141275106527505910940560144952358303633005108,Partial Literal
the car is a rocket,35685368344605591322772316040195226280377337984279175691312259571064498148015,Partial Literal
she was a sly cat,91911503307540259606875365445337987991064499045089594796957158644849454586638,Partial Literal
a shinning star,51874680436147503662066288144544757842449430649913348856615696530675486017757,Partial Literal
homework is a breeze,39454390968924926635401797859611328645156987583623723308755819410624744903782,Partial Literal
a mighty lion,62172694910281078968059534410802427541639239423758090673556719450054089378040,Partial Literal
blanket of snow,52840846659874861284868549490647591244857162161532665377017845561071957080604,Partial Literal
blanket of bullets,55553342287225779152478268554943759491045520439252400414152164178137428421998,Figurative
heart of stone,112312596998213322650937533026994949799492197776092156272654191501846894719250,Partial Literal
a lion on the battlefield,47174459796063323240797757842810087741012572335201487024594698927562672234611,Partial Literal
a night owl,104418713880078422281886773226050069482778380341450693669115229423338917176387,Partial Literal
he is a fox,23400350106555448842126098395445380957414879170973583531294677283224367180229,Partial Literal
a mighty lion,59412640922454444030573552312998965743350717634412214567926207020247116728611,Partial Literal
homework is a breeze,18942050562251378486540531437859809766324204495126755019739660210796514764823,Partial Literal
their relationship is a house on fire,37354760527246492810722148837790299432451911467200129643878100613845978018695,Partial Literal
he is a fox,11950650003234766808026828500772816125549651009654717924014649528587981101850,Partial Literal
heart of gold,5805223331727981968354006002263658656638973355094008422926272966034888240301,Figurative
he is a fox,57286075424664396072928475809215390942556062039551743300441048378611584353551,Partial Literal
home was prison,68512475462598247344629481596439097354900286815742972965013982040695209828166,Partial Literal
heart of a lion,98679075168474656768431443363034456385183767114952129524728467809227318524594,Figurative
home was prison,110784831130948893302595399117299350546290424265832817726888395992862974005935,Figurative
he drives a tank,103060758584382873812603484030064196262413428468379136618842913305280615598897,Partial Literal
she was a busy bee,4759052143165153659024655511419659369303308844385337755881862404257510667989,Figurative
heart of gold,93030523922354705393239848178877696616494703086149047278215830556765713792211,Figurative
heart of a lion,50244161803818960363975350535110303548977610230853766071295766672164542777222,Figurative
sea of bees,111718349782114030554279951688798975696261659852498510689049300228553677170297,Partial Literal
sea of knowledge,99401559410212480383726524505557770776655210571925827568175075684656974424575,Partial Literal
sea of knowledge,8082364597910707696149054398546216052653143880946536570826369809653864247343,Partial Literal
she was a busy bee,21371710691417175108641310694718552596413608981810706891897448326917107797094,Partial Literal
blanket of snow,19545059735746394550275885970661791775329425327079682080069877752471007013734,Partial Literal
he was a chicken,69792187690841468388435264399624599391495998389607697986205571296318729905004,Partial Literal
walking encyclopedia,64577741290100469393557288786522605533312689044045324899809523315127945516291,Partial Literal
she was a sly cat,34088007883203888337508789328225980923154556955353408566476270806483858584007,Partial Literal
sea of bees,79080829693698643716761152026185062655874223842656763182764499631430941583973,Partial Literal
heart sank,68933033239260013313622953388143771589236461673471914718767732178064823952402,Figurative
a night owl,102388281374391832911641814908736629718563514796843177988773007170375560557144,Figurative
he was a chicken,16012868887915228305695987530559336999305431236226890135907127688863292923246,Partial Literal
home was prison,85567176395893675642047371185156511817775740391490047396260913238392279308206,Partial Literal
a shinning star,10813211333635951633070003339024945805733427318740003415085204240181980594321,Figurative
light of my life,53157080411073676299936946810491634480688384852464856699563152905498682418829,Figurative
she is a ray of sunshine,41812109223555847573706666706550099402089813698436059890625987673842955680437,Partial Literal
their relationship is a house on fire,108631833775244808248034413277192161096907195255380860908239358751497142082731,Partial Literal
he drives a tank,82693288243697429834093946847104529406392465968762677212420630409786429260480,Partial Literal
sea of knowledge,65948237475350549495194980946617060309297841999367775972097912366688681885226,Partial Literal
he is a cheetah,34854407005650340214046523160910408367396341167702446685679395718868856682844,Partial Literal
blanket of flowers,70343962036099038134639595484876039416602694260746159037312281558074013370049,Partial Literal
she is a ray of sunshine,99284549254100013848217244692297472413496669058282992081859152760504435245182,Figurative
home was prison,88371550155036705093023119218512751346534521753970211218031608613968821031217,Partial Literal
an angel,18975588509830365841770770712627162740487340283113922275926345773422271549411,Figurative
heart of a lion,30842081088014896425655666553687978850684874623651593646948097215606890020764,Partial Literal
she is a snake,85739440487252729255276793980538268297412518382638672775244119192234957134639,Partial Literal
house of cards,76204354863542305420917347780761316685615069370354850194588816813604346881676,Figurative
their relationship is a house on fire,76005853234002601654134079322670806497739821555515757838302589244132823010582,Figurative
light of my life,83126709458060854598347006469572709210236035509205750600549550459767588810430,Figurative
he is a fox,57896704321267211594170280826437943428358536341526726059710221272115069054390,Figurative
he drives a tank,63564878064618357603674346910985533636229511747156073352147526119912920769418,Figurative
their relationship is a house on fire,34424997733569953173497817892281760755367774573313680679654128923364269038848,Partial Literal
walking encyclopedia,10157340071851576278842046257961959822181299279818506427199278787106573506060,Partial Literal
home was prison,46228947181555101736134711729162056383449407384068496941813113080223235629172,Figurative
she is a ray of sunshine,65443266119768948026502391125583687901224365752501329937299268265476169827551,Figurative
blanket of bullets,35348945373344638242637872245079188692274640113209086313677996888051572572393,Partial Literal
home was prison,16150168880623298841604369688217210070280428339217634813024789757533900016944,Partial Literal
she is a ray of sunshine,46549083972589135251167017599727698212912426855082456951998177707093554296309,Partial Literal
he was a chicken,30077762258585614941488839663222164929750095594733413976872534372665611298678,Partial Literal
house of cards,110756782548500655186144715413248246694670910307272335735887073098113827073313,Partial Literal
house of cards,17703624498871237042064263291592445077610300051228374454427973018551947436174,Figurative
a mighty lion,101660149060442087036735889427759256971551657750339849869823391099361319413109,Figurative
blanket of flowers,90768016470335761684338974878750978747740065851569324107494425748488463315058,Partial Literal
eyes were fireflies,19268165260795851574613665166208994320422805321816352352019426706348378781310,Partial Literal
